clothing_style,top_clothing,bottom_clothing,hand_accessories,head_accessories,shoes,neck_accessories,glasses
Casual Wear,Ripped Jeans,Slim-fit Jeans,Casual Watch,Cap,Sneakers,Silver Necklace,Sunglasses
Casual Wear,Round Neck T-shirt,Jeans,Bracelet,Cap,Tennis Shoes,Necklace,Vintage
Sportswear,T-shirt,Trackpants,Wrist Watch,Cap,Sneakers,Scarf,Sunglasses
Casual Wear,Shirt,Slacks,Gloves,Hat,Loafer,Tie,Aviator
Streetwear,Basic T-Shirt,Basic Jeans,Hip-hop Hand Jewelry,Flat Bill Cap,Sneakers,Necklaces,Aviator Glasses
Streetwear,Slim-fitting hoodie with a graphic print on the front,Black skinny jeans with ripped knees,Black leather bracelet,Black beanie with a logo,Black leather high-top sneakers,Black choker necklace,Black aviator sunglasses
Casual Wear,Slim Fit Denim Jeans,Slim Fit Denim Jeans,Slim Fit Denim Jeans,Casual Hat,Black Leather Boots,Neck Chain,Black Sunglasses
Indian Traditional Wear,Solid top with long sleeves,Mid-rise cargo pants,Watch,Baseball cap,Sneakers,Necklace,Clear glasses
Sportswear,Printed T-Shirt,Cargo Pants,Bracelet,Baseball Cap,Sneakers,Chain Necklace,Black Rectangle Frames
Indian Traditional Wear,Kurta,Pant,Saffron,Turban,Formal Shoes,Necklace,Round
Casual Wear,Slim-fit shirts,Regular fit jeans,Casual watches,Baseball caps,Sneakers,Casual necklaces,Round Glasses
Casual Wear,Solid Purple T-Shirt,Solid Red Denim Jeans,Rubber Leather Strap Watch,Brown Solid Feather Fedora Hat,Brown Leather Boots,Silver-Tone Chain Necklace,Tortoise-Shell Aviator Frames
Business Casual,Button Up,Pants,"Watches, Cufflinks",Ties,Oxfords,Neck Ties,Sunglasses
Casual Wear,Solid t-shirt,Solid jeans,Solid rings,None,Sneakers,None,Sunglasses
Business Casual,regular fit shirt,pants,watch,tie,dress shoes,tie,plain glasses
Sportswear,Sleeveless Polo Shirt,Sporty Jogger Pants,Wrist Watch,Baseball Hat,Casual Sports Shoes,Infinity Necklace,Sporty Glasses
Streetwear,T-Shirt,Skinny Jeans,Hoodie Bracelet,Baseball Cap,Sneakers,Choker,Sunglasses
Preppy Style,Crew-neck sweater,Khakis,Casual Watch,Tweed Fedora,Loafers,Necktie,Sporty Glasses
Casual Elegant,Polka Dot Checkered Short Sleeve,Solid Black Pant,Plain Brown Belt,Plain Brown Hat,Polka Dot Checkered Casual Shoes,Plain Brown Necklace,Semi-rimless Frames
Business Casual,Semi-formal button-down,Semi-formal trousers,Formal watch,Fedora hat,Loafers,Silver tie pin,Tortoise Shell Round Glasses
Preppy Style,Slim fit shirt with button-down collar,Slacks,Leather Belt,Casual Fedora,Fashionable Derby Shoes,Classic Necklace,Round Glasses
Streetwear,Graphic T-Shirt,Skinny Jeans,Pendant,Snapback Hat,Sneakers,Chain,Sunglasses
Formal Wear,Shirts,Pants,Watches,Hats,Loafers,Ties,Rectangular
Vintage and Retro Inspired,T-shirt,Slim fit jeans,Leather Bracelet,Headband,Brown Leather Sneakers,Necklace,Black Sunglasses
Casual Elegant,Solid crew neck t-shirt,Solid beige chinos,Brown bracelet,Red and white striped headband,Vintage brown leather shoes,Silver chain with pendant,Navy blue frames with dark lenses
Casual Wear,Chambray Shirt,Regular Fit Denim,Casual Watch,Trucker Cap,Sneakers,Neck Chains,Thin Framed Glasses
Outdoor and Adventure Wear,Relaxed Fit,Straight leg jeans,Casual Watch,Baseball Cap,Running Shoes,Scarf,Sunglasses
Business Casual,Collared polo shirt,Dress pants,Leather watch and bracelet,Sports cap,Lace-up dress shoes,Silk tie,Plastic-frame glasses
Casual Elegant,Slim Fit Casual Shirt,Slim Fit Casual Pants,Metal Bracelets,Slim Fit Casual Beanie,Black Casual Boots,V-Neck Slim Fit Casual Tie,Thick Square Framed Glasses
Casual Elegant,Solid-color striped shirt,Formal trousers,"Watch, Bracelet","Tie, Hat",Black formal shoes,Bow tie,Black glasses
Vintage and Retro Inspired,One-Button Collar Shirt,Vintage Fit Chino,Gold-Plated and Stainless Steel Wrist Watch Wrist Watch,Oxford Wool Fedora Hat,Bruno Bottom-Hide Dress Shoes,Black Cotton Necktie,"Acetate Frames, Round-Lens"
Casual Elegant,Round Neck T-Shirt,Straight Jeans,Large Studs,Fedora,Lace-up Boots,Neck chain,Cat Eye Glasses
Casual Wear,Regular fit T-shirt,Slim fit jeans,Watches,Beanies,Sneakers,Necklaces,Square sunglasses
Casual Elegant,Crew Neck Shirt,Casual Trousers,"Brown Belt, Black Belt, Brown Watch, Black Watch",Black Cap,Black Oxford Shoes,Black Thin Necklace,Black Classic Glasses
Business Casual,Long-Sleeve Button-Down Shirt,Solid-Colored Straight-Leg Pants,White Watch,Black Dress Shoe,Black Dress Shoe,Black Necktie,Black Frame Rectangular Glasses
Business Casual,Shirt with Pinstripe,Trousers,Golden Watch,Formal Hat,Brown Shoes,Necktie,Black Glasses
Preppy Style,Slim-fit shirts with button-down collars,Chinos or khakis,Watches or bracelets,"Ties, Caps",Loafers or dress shoes,Neckties,Sunglasses
Preppy Style,"Loose-fitted, Short Sleeves, Button-down Collar, Long Cloth, Shirt",Chino Shorts,Wrist Watch,Baseball Cap,Sneakers,Necklace,Sunglasses
Casual Wear,T-shirt with print,Skinny Jeans,Casual Watch,Casual Cap,Sneakers,None,Square Framed Glasses
Casual Wear,Full Sleeve Collar Shirt,Solid Straight Fit Pants,None,None,Sneakers,None,Sunglasses
Casual Elegant,Short Sleeve Patterned Shirt,Dark Blue Skinny Jeans,Black Watch,Black Fedora Hat,Black Biker Boots,Simple Black Necklace,Black Rectangle Glasses
Casual Elegant,Casual Shirt,Slim Fit Jeans,Black Leather Gloves,Black Fedora Hat,Black Oxfords,Classic Necktie,Black Wayfarer Glasses
Business Casual,Casual Shirt,Chinos,Wristwatch,Bow Tie,Oxford Shoes,Necktie,Aviator Sunglasses
Indian Traditional Wear,Cotton Kurta/Shirt,Cotton Pajama,Golden Bracelet,Head Band,Canvas Shoes,Golden Chain,Blue Glasses
Casual Wear,Casual Shirt,Casual Pants,No Accessories,No Accessories,Casual Shoes,No Accessories,No Glasses
Sportswear,Polo,Jeans,Black leather gloves,Baseball cap,Sneakers,None,Sunglasses
Business Casual,Straight Short-Sleeve Shirt with Button Closure,Chino Trousers,Casual Watch,Business Casual Hat,Casual Sneakers,Silk Pocket Square,Gold Round Framed Glasses
Business Casual,shirt,Trousers,None,None,Oxfords,None,Horn rimmed
Business Casual,Pale blue plain shirt,Black denim jeans,[{,Black leather belt,Black leather shoes,[{,Black metal frame glasses
Business Casual,Button-Up Shirt,Slacks,Watch and Bracelet,Hat,Oxfords,Necktie and Bow Tie,Sunglasses
Sportswear,Sleeveless T-Shirt,Track Pants,Track Pants,Sports Cap,Sneakers,Track Pants,Track Pants
Sportswear,T-shirt,Track pants,Wrist Watch,Warm Beanie,Trainers,Pebbled Leather Necklace,Round Glasses
Business Casual,Long Sleeve Shirt,Straight Leg Pants,Metal Bracelet,Casual Hat,Formal Shoes,Casual Tie,Wingtip Glasses
Business Casual,Solid Casual Shirt,Solid Chinos,Wristwatch,Tie,Black Leather Oxford Shoes,Silver Necklace,Black Metal Frame
Formal Wear,Pinstripe Suit,Black Trousers,Tie Pin and Tie Clip,Black Bow Tie,Oxfords,Necktie,Brown Metal Frames
Sportswear,Polo,Slim Fit Jeans,Watches,Beanie,Loafers,Necklace,Oval
Casual Wear,Long Sleeve T-Shirt,Long Sleeve T-Shirt,Canvas Watch,Baseball Cap,Black Sneakers,Gold Necklace,Black Round Glasses
Indian Traditional Wear,Standard Kameez,Dhoti,Ring Finger Ring,Fedora Hat,Chappals,Senior Necklace,Cat Eye Frames
Business Casual,Solid Shirts,Casual Pants,Metal Bracelets,Hats,Formal Shoes,Pearls Necklaces,Square Metal Frames
Casual Elegant,Slim Fit,Slim Fit,Ring,Cap,Sneakers,Scarf,Sunglasses
Sportswear,Round Neck T-Shirt,Cargo Pants,Finger Ring,Cap,Trainers,Necklace,Sunglasses
Streetwear,T-Shirt,Skinny Jeans,Necklace,Beanie,Low-top sneakers,Chain Necklace,Aviator Glasses
Sportswear,T-shirt,Pants,Watches,Caps,Runners,Scarves,Wayfarers
Formal Wear,Fitted T-Shirt,Skinny Jeans,Leather Belt,Beanie,Sneakers,Choker,Round Glasses
Sportswear,T-shirt,Jeans,Watch,Beanie,Sneakers,Scarf,Sunglasses
Outdoor and Adventure Wear,Crew Neck T-Shirt,Slim Fit Jeans,Black Leather Belt,Black Beanie,White Leather Sneakers,Black Leather Necklace,Black and Brown Tortoise Shell
Casual Wear,Solid Straight Fit Pocket T-shirt,Solid Straight Fit Jeans,Analog watch,Black Fedora Hat,Black Leather Sneakers,Chain,Glasses with Black Frame and Gradient Brown Lens
Casual Wear,Chambray Shirt,Straight-Fit Jeans,Wrist Watch,Baseball Hat,Sneaker,Necktie,Wayfarer
Casual Wear,Navy Blue Short Sleeve Henley,Blue Wash Denim Jeans,Analog Watch,Beanie,Black Sneakers,None,Round Glasses
Streetwear,Black and grey sweatshirt with a screen print of a skull on the front and long sleeves,Black and grey sweatpants with an elastic waistband,Black and grey beanie hat,Black and grey beanie hat,Black and grey sneakers,Black and grey beanie hat,Black and grey aviator sunglasses
Streetwear,Tee shirt,Jeans,Wrist watch,Ponytail,Sneakers,Necklace,Sunglasses
Preppy Style,Solid color Polo shirt,Plaid Shorts,Wristwatch,Baseball Cap,Sneakers,Necklace,Aviator
Sportswear,Solid Polo Shirt,Solid White Pants,White Watch,No Hat needed,White Sneakers,No Necklace needed,White Glasses
Streetwear,Basic T-Shirt,Basic Jeans,Wristwatch and Basic Bracelet,Basic Cap,Sneakers,Basic Necklace,Oversize
Casual Elegant,Jeans,Jeans,Leather wrist watch,Leather cap,Leather boots,Leather necklace,Leather Glasses
Sportswear,Striped T-Shirt,Gray Skinny Jeans,Basic Watch,Modern Beanie,Classic Sneakers,Straight Necklace,Modern Glasses
Business Casual,Shirt,Trousers,Belt,Hat,Boots,Necktie,Regular
Sportswear,Short Sleeve T-Shirt,Tapered Jeans,Hat,Baseball Cap,Casual Shoes,Scarf,Round
Vintage and Retro Inspired,"Vintage and Retro Inspired: T-shirts with classic designs, such as polo shirts and button-down shirts, often in neutral colors like white, black, or navy blue.","Vintage and Retro Inspired: Jeans and trousers with a classic fit, such as straight-leg or flare jeans, and chinos.",Retro Timepiece,Vintage and Retro Inspired: Retro-style hats such as newsboy caps or fedoras,Chukka Boots,Retro Timepiece,Round Glasses
Casual Wear,Basic T-Shirt,Basic Jeans,Leather Watch,Basic Cap,Sneakers,Basic Chain,Basic Aviator Sunglasses
Sportswear,Solid polo shirt,Tailored trousers with belt,Solid color leather watch,Solid color leather belt,Sneakers,Solid color leather necklace,Square framed glasses with dark lenses
Business Casual,Long Sleeve Stripe Formal Shirt,Dark Blue Jeans,Brown Belt with Black Shoes,Solid Gray Fedora Hat,Brown Leather Shoes,Solid Gray Neck Tie,Black Frames Glasses
Vintage and Retro Inspired,Long-sleeved T-shirt,Joggers,None,None,Sneakers,None,None
Casual Elegant,Solid Printed Polo Shirt,Light Wash Jeans,Belt Watch,Solid Printed Baseball Cap,New Balance Sneakers,Solid Printed Scarf,Classic Aviator
Vintage and Retro Inspired,Hoodie,Tapered Fit Jeans,Bracelets,Beanie,Sneakers,Necklace,Round Glasses
Business Casual,Shirt,Trousers,"Watch, Bracelet","Hat, Cap",Business Shoes,Tie,Formal Glasses
Indian Traditional Wear,Curt,Pyjama,Jewellery,Turban,Mojaris,Jhoomar,Kohlapuri
Streetwear,Hoodie,Sweatpants,None,Cap,Sneakers,None,Black
Streetwear,Streetwear,Skinny Jeans,Bracelets,Ball cap,Sneakers,Choker,Sunglasses
Sportswear,Full Sleeves,Solid Black Skinny Jeans,Horse-bit Two-tone Watch,Brown Leather Cap,Grey Suede Chelsea Boots,Gold Chain,Crystal_Brown
Casual Elegant,Slim fit shirt,Casual trousers,Belt and watch,Gray hat,casual shoes,Tie,Round glasses
Casual Elegant,Burgundy Plaid Dress Shirt,Dark Grey Houndstooth Wool Skinny Trousers,Silver Tone Cufflinks,Charcoal Grey Skullcap,Brown Leather Oxford Shoes,Silver Tone Necklace,Brown Square Framed Glasses
Indian Traditional Wear,shirt with collars,pyjama,no accessories,no accessories,Mojari,no accessories,no glasses
Streetwear,Sweatshirt,Skinny Jeans,Bracelets,Hat,Sneakers,Scarf,Sunglasses
Vintage and Retro Inspired,Casual Shirt,Casual Trousers,Ideal hand accessories with this clothing style for men are Sunglasses.,Ideal head accessories with this clothing style for men are Caps/Hats,Casual Shoes,Ideal neck accessories with this clothing style for men are Ties.,Black Round Glasses
Casual Wear,Single-breasted jacket,Cotton cargo,Plain cotton gloves,Plain cotton beanie,Canvas shoes,Plain cotton turtleneck,Plain black oval glasses
Vintage and Retro Inspired,Checkered Short Sleeve Sweater,Straight Leg Jeans,Converse All Star Trainers,Denim Beanie,Black and White Low Top Sneakers,Metal Studded Choker,Black Aviator Sunglasses
Vintage and Retro Inspired,Button-up shirt,Belted trousers,Hat,Cap,Loafers,Scarf,Wayfarer
Casual Wear,Solid Polo Shirt,Chinos,Gold Watch,Solid Black Flat Cap,Sneakers,Solid Black Necklace,Black Eyeglasses
Vintage and Retro Inspired,Print Shirt,Casual Jeans,Easy Wrist Watch,Black Beanie,White Vans,Black Scarf,Black Sunglasses
Casual Elegant,Full Sleeve Shirt with Pocket,Jeans,Watch,Cap,Sneakers,Necklace,Sporty Glasses
Business Casual,Tailored Shirt,Dress Pants,Simple Watch,Simple Tie,Simple Shoes,Simple Tie,Simple Frames
Casual Elegant,Printed T-Shirt,Printed Jeans,Leather Watch,Red Elegant Cap,Black Leather Boots,Elegant Necklace,Blue Tinted Glasses
Indian Traditional Wear,Kurti,Kurti Pants,"Rings, Bangle, Bracelets, Bangles, Ear Rings",Turban,Flats,Necklace,Sunglasses
Business Casual,Solid colored dress shirt,Solid colored dress pants,"[{'product': 'Watches', 'gender': 'Men'}, {'product': 'Belts', 'gender': 'Men'}]","[{'product': 'Ties', 'gender': 'Men'}, {'product': 'Hats', 'gender': 'Men'}, {'product': 'Scarves', 'gender': 'Men'}]","[{'product': 'Oxfords', 'gender': 'Men'}, {'product': 'Loafers', 'gender': 'Men'}, {'product': 'Sneakers', 'gender': 'Men'}]","[{'product': 'Neckties', 'gender': 'Men'}]","[{'product': 'Sunglasses', 'gender': 'Men'}]"
Sportswear,Collarless Shirt,Tapered Jeans,White Watch,Baseball Cap,Sneakers,White Necklace,Round Glasses
Sportswear,Buttoned Shirt,Pant,Fingerless Gloves,Cap,Running Shoes,Scarf,Oversized
Indian Traditional Wear,Designer kurta,Designer Kurta Pyjama,Bracelet,Turban,Designer Jooti,Choker,Round Glasses
Outdoor and Adventure Wear,Buttoned Collar,Straight Leg Trousers,Leather Gloves,Beanie Hat,Boots,Scarf,Sporty
Business Casual,Pinstripe Suit,Black Pinstripe Suit Trousers,Cufflinks,Black Bow Tie,Black Dress Shoes,Silver Necktie Pin,Black Silk Bow Tie
Preppy Style,Minimalist design,Minimalist design,Wrist Watch,Beanie,Loafers,Neck Tie,Sunglasses
Casual Wear,Printed Shirt,Printed Pants,Printed Belt,Printed Hat,Printed Shoes,Printed Scaret,Printed Glasses
Business Casual,Checkered Shirt,Black Trousers,Ring,Black Fedora,Black Loafers,Black Tie,Aviator
Casual Wear,Short Sleeve Round Neck T-Shirt,Sweatpants,Casual Watches,Hat,Sneakers,Scarf,Sunglasses
Preppy Style,Tapered Suit Pants,Slim-fit Chinos,Pocket Square,Cap,Suede Boat Shoes,Necktie,Plastic Frames Glasses
Business Casual,Shirt,Chinos,Watches,Watches,Oxfords,Ties,Classy
Casual Elegant,Skinny Jeans,Skinny Jeans,Leather Belt & Watch,Sports Cap,Sneakers,None,Sunglasses
Casual Elegant,Tie,Chinos,Wrist Watch,Cap,Shoes with Tie,Neck Tie,Wayfarer
Business Casual,Long sleeve shirt,Chino,Wrist Watch,Cap,Business Casual Loafers,Tie,Round
Vintage and Retro Inspired,Vintage-style long-sleeved T-shirt,Grey jeans,Red leather fingerless gloves,Brown leather baseball cap,Red leather high-top sneakers,Black leather necklace,Black leather square-frame sunglasses
Sportswear,Sporty T-Shirt,Sporty Shorts,Sporty Wristband,Sporty Cap,Sporty Sneakers,Sporty Necklace,Sporty Sunglasses
Casual Wear,Regular Fit Shirt,Regular Fit Pants,Rings,Cap,Low Shoes,Necklace,Eyeglasses
Preppy Style,Polo shirt,Chino Pants,"Wrist Watch, Belt",Stylish Hat,Smart Casual Shoes,Tie,Round Glasses
Preppy Style,Solid coloured polo shirt,Solid coloured skinny jeans,Wrist watch,Baseball cap,White and black sneakers,Necklace,Aviator Sunglasses
Preppy Style,Solid-color button-down shirt,Solid-color chinos (khaki),Brown leather belt (with a buckle),Beige newsboy cap,Brown leather oxford shoes,No necklace,Black plastic frames
Sportswear,Basic t-shirt,Basic pants,Nothing,Nothing,Basic shoes,Nothing,Sunglasses
Casual Wear,Regular fit shirt-full sleeves,Slim fit straight jeans,Men’s bracelet,Men’s hat,Black leather shoes,Men's tie,Men's glasses
Casual Wear,Casual Shirt,Basic Fit Jeans,Metal Bracelet,Beanie,Canvas Shoes,Silver Necklace,Matt Black Sunglasses
Business Casual,Graphic print button-down shirt,Classic fit chinos,Leather belt,Cap,Oxfords,Necktie,Oval glasses
Casual Wear,Denim Shirt,Dark Casual Jeans,Stainless Steel Watch,Blue Cap,Casual Shoes,None,Blue Glasses
Preppy Style,Tailored Collared Shirt,V-Neck T-shirt,Sports Watch,Hat,Sneakers,Choker,Round Frames
Indian Traditional Wear,Matching Kurta Pajama Set,Matching Kurta Pajama Set,Matching Necklace and Ring,Chains headband,Matching Jootis,Matching Necklace and Ring,Modern Glasses
Casual Elegant,Blazer,Pants,"Metal Watch, Metal Bracelet",Metal Watch,Leather Shoes,Chain,Metal Frames
Business Casual,Long Sleeve Shirt,Trousers,Watch,Cap,Boots,Scarf,Round
Formal Wear,2 Button Suit,Slim Straight Fit Trousers,Dress Watch or Gentleman's Watch,Dress Hat,Loafers,Tie,Modern / Semi-Rimless
Vintage and Retro Inspired,Solid Polo Shirt,Vintage Style Pants,Handmade Ring,Retro Fedora Hat,Vintage Style Suit Shoes,Necktie,Wayfarer Glasses
Formal Wear,Shirt,Pants,No accessories are needed.,No head accessories are needed,Dress Shoes,No neck accessories are needed.,No glasses are needed.
Sportswear,Sleeveless T-shirt,Tapered Jeans,Wrist Watch,Baseball Hat,Sneakers,Necklace,Black Framed Glasses
Streetwear,Casual tops and T-shirts,Straight leg pants,Gold bracelets,Baseball cap,Sneakers,Necklaces,Brown glasses
Casual Wear,Polo Shirt,Straight Long Pants,Watch,Baseball Cap,Sneakers,Necklace,Round Glasses
Preppy Style,A bomber jacket,A pair of jeans,A wristwatch,A baseball hat,Nike Air Force 1,A scarf,Black Aviator Glasses
Vintage and Retro Inspired,Round Neck T-Shirt,Navy Blue Dungarees,Handbag,Baseball Cap,White Sports Shoes,Scarf,Sunglasses
Casual Elegant,Slim Fit,Slim Fit,Metal bracelet,Cap,Sneakers,Chain,Round
Casual Wear,Slim-fit,Straight-Cut,Black Leather Belt,White Solid Cap,Navy Sneakers,Black/White Solid Tie,Round Horn-Rimmed Glasses
Vintage and Retro Inspired,Short Sleeve T-Shirt,Tapered trousers,Metal watch and leather belt,Trucker hat,Converse Sneakers,None,Round glasses
Vintage and Retro Inspired,Waistcoat,Trousers,Rings,Fedora Hat,Oxfords,Necktie,Round
Casual Wear,Short Sleeve Henley,Casual Fit Jeans,None,None,Sneakers,None,Semi-Rimless
Casual Wear,Solid Polo Shirt,Solid Jeans,Wooden Bracelet,Leather Cap,High Ankle Boots,Wooden Necklace,Round Glasses
Outdoor and Adventure Wear,Full-Sleeve,Jeans,"Cap, Gloves and Scarf",Cap,Boots,Scarf,Sunglasses
Casual Elegant,Solid T-Shirt,Solid Denim Jeans,Sports Watch,Sports Cap,Sneakers,Sports Necklace,Sports Glasses
Preppy Style,Men's Button-Down Shirt,Men's Khaki Chino,Men's Watch,Men's Fedora Hat,Men's Loafers,Men's Necktie,Men's Aviator Sunglasses
Casual Wear,Hoodie Sweat Shirt,Olive Green Jeans,Sporty Wrist Watch,Fitted Beanie Hat,Sneakers,None,Round Frames Sunglasses
Outdoor and Adventure Wear,Long-sleeve zip-up sweatshirt,Hiking pants,Hiking gloves,Hiking cap,Hiking shoes,Neck gaiter,Sunglasses
Business Casual,Button-down shirt,Chinos,Casual watch,Blazer,Brown leather derby shoes,Skull tie bar,Black square-framed glasses
Vintage and Retro Inspired,T-shirt with a vintage or retro-inspired design,Vintage or retro-inspired jeans or trousers,Vintage-style watches or wristwatches,A vintage-style fedora or flat cap,Vintage or retro-inspired sneakers or boots,A vintage-style scarf or neckerchief,Vintage or retro-inspired eyeglasses
Casual Elegant,Solid-colored button-down shirt,Dark-colored straight-leg jeans,Brown leather belt,Black fedora hat,Brown leather boots,Casual necktie,Brown aviator sunglasses
Casual Elegant,Sweater,Chinos,Wristwatch & Belt,Beanie,Sneakers,Necklace,Sunglasses
Streetwear,Round Neck Tee,Joggers,Chain,Baseball cap,Sneakers,Necklace,Round Glasses
Business Casual,Blazer,Dress Pants,Wrist Watch,Necktie,Oxfords,Necktie,Game Face
Streetwear,Short Sleeve Tee,Trouser (Black),Wrist Watch,Beanie/Cap,Sneakers (Black),Pendant Necklace,Sunglasses (Black)
Casual Wear,T-Shirt with print,Jeans,Watch,Beanie,Sneakers,Necklace,Sunglasses
Business Casual,Solid White T-Shirt,Dark Blue Jeans,Blue Skull Ring,Blue Ball Cap,White Casual Shoes,White Skull Necklace,Black Square Framed Glasses
Indian Traditional Wear,Collar Shirt,White Chudidar with Gold Pant,Golden Watch,Black Glossy Hat,White Canvas Shoes,Gold Necklace,Black & White Patterned Glasses
Casual Elegant,Round Neck T-Shirt,Tapered Jeans,Leather Black Belt,Black Cap,White Low Top Sneakers,Black Necklace,Black Square Frames Glasses
Casual Wear,V-neck T-shirt,Casual pants,Belts,Standard cap,Casual shoes,Necklaces,Sports sunglasses
Casual Wear,Regular Fit Shirt,Formal Trousers,Casual Watch,Necklace,Sneakers,Casual Tie,Sunglasses
Sportswear,Relaxed Fit Solid,Relaxed Fit Straight,Casual Watch,Beanie,Lace-up Shoes,Scarf,Round Glasses
Casual Elegant,Shirt,Trousers,"Bracelet, Leather Watch",Sporty Cap,Casual Shoes,T-shirt Choker,Brand Glasses
Preppy Style,Preppy Shirts,"Chinos, Jeans, Khakis",Gloves,Preppy Hat,"Sneakers, Boots","Ties, Bowties","Eyeglasses, Aviator Glasses, Pilot Glasses, Ray-Ban Glasses"
Preppy Style,Solid Polo Shirt,Solid Cargo Shorts,Suitable Hand Accessories for Men: Solid Leather Belt and Solid Dark Brown Loafers,Suitable Head Accessories for Men: Solid Black Beanie,Suitable Shoes for Men: Solid Dark Brown Loafers,Suitable Neck Accessories for Men: Solid Black Necklace,Suitable Glasses: Solid Black Sunglasses
Indian Traditional Wear,Suit,Pants,Watches,Turbans,Loafers,Necklace,Round
Streetwear,Sweatshirt,Sweatpants,Accessories: No accessories,Accessories: No accessories,Sneakers,Accessories: No accessories,Accessories: No accessories
Casual Elegant,Short Sleeve Button Down,Dark Blue Wash Chinos,Brown Leather Belt,Brown Leather Cap,Brown Leather Lace Up,Skinny Black Tie,Half-Rim Glasses
Sportswear,Collarless Jersey Top,Cargo Shorts,Gold Watch,Sporty Cap,Casual Sneakers,Sporty Necklace,Wayfarer Sunglasses
Sportswear,Collared Shirt,Jeans,"Rings, Watches",Cap,Sneakers,Scarf,Round
Streetwear,Crew Neck T-Shirt,Slim Fit Jeans,No Hand Accessories,No Head Accessories,Low-Top Sneakers,No Neck Accessories,Black
Casual Wear,Hoodie,Jeans,Hoodie and Jeans,Hat,Sneakers,Collar,Oversized Glasses
Vintage and Retro Inspired,Slim-Fit Faux Leather Biker Jacket,Dark Wash Skinny Jeans,Metallic Watch,Rockstar Beanie,Leather Lace-Up Boots,Silk Scarf,D-Frame Sunglasses
Business Casual,Shirt,Trousers,Watch,Not applicable,Oxfords,Necktie,Full-rim glasses
Formal Wear,Suit,Dress Pants,Wrist Watch,Tie Pin,Dress Shoes,Tie,Wayfarer
Casual Wear,Casual wear T-shirt,"Levi's 501 CT, distressed, classic fit, straight leg jeans",Brown leather belt,Stainless steel bracelet watch,Dark blue Creeper sneakers,Black curb chain,Black plastic-rimmed glasses
Business Casual,Shirt,Trousers,Watch,Hat,Dressy sneakers,Necktie,Classic
Business Casual,Button Up Shirt,Business Casual,"Wrist watch, Cufflinks",Tie,"Oxfords, Derbies, Monk shoes",Tie,Round
Casual Wear,Shirt,Chino,"Belt, Watch, Bracelet",Baseball Cap,Casual Shoes,Scarf,Sunglasses
Business Casual,Crew Neck T-Shirt,Dark-Wash Skinny Jeans,Stainless Steel Watch,Blue Jacket,Black Leather Casual Shoes,V-Neck Casual Sweater,Black Square-Framed Glasses
Sportswear,Hoodie,Track pants,"Beanie, sports cap, wristband, watch, and gloves","Beanie, sports cap, wristband, watch, and gloves",Trainers,"Chain, pendant, and necklace","Sunglasses, Glasses"
Casual Elegant,Regular Fit,Slim Fit,Black Leather Bracelet,Black Hat,Black Shoes,Wool Necklace,Black Glasses
Business Casual,Button Up Shirt,Khakis,Tie Clips,No Head Accessories,Oxfords,No Neck Accessories,No Glasses
Vintage and Retro Inspired,Solid Short Sleeve Henley,Solid Slim Fit Chino Pants,None,None,Monk Strap Shoes,None,Square Frame Glasses
Business Casual,Slim-fit button-up shirt with a collar,Slim-fit chinos,Metal bracelet,Classic hat,Slim-fit oxford shoes,Necktie,Brown rectangular frames
Streetwear,T-shirt with a casual fit,Casual trousers,Sport watch,Casual cap,Sneakers,Basic necklace,Sunglasses
