body_type,additional_features,dress_type,sleeve_type,necklace,bracelet,earrings,dress_design,accessory_design
Rectangle,optional,t shirt,short length,choker,charms,drop earrings,"The dress design suitable for the given body type, dress type, and sleeve type is a V-neckline with a short-length sleeve. To complement the dress, one can wear a choker necklace, charms bracelet, and drop earrings.","The accessory design suitable for the given necklace, bracelet, and earrings is a combination of materials and colors that complement each other. For example, a gold-toned choker necklace can be paired with a silver-toned charms bracelet, and drop earrings with ruby stones"
Inverted triangle,optional,party wear,full length,choker,bangles,drop earrings,V-neck with a ruffled hem,"Rhinestone stud earrings, rhinestone stud bracelet, and gold choker necklace"
Pear-shaped,busted,party wear,full length,rounded,stacks,jhumka,The dress design should be fitted and have a low neckline to accentuate the bust and create an hourglass silhouette,"The accessory design should be bold and eye-catching, featuring a combination of all three accessories. The necklace could be a statement piece with a long and dangling design, the bracelets could be stacked with multiple bangles or cuffs, and the earrings could be large and dangling"
Pear-shaped,busted,party wear,puffy shoulder,v shape,bangles,drop earrings,deep V neckline with puffy shoulder sleeves,"Beige and gold necklace, bracelet, and stud earrings"
Pear-shaped,optional,t shirt,short length,choker,stacks,drop earrings,This dress has a scoop neckline and a short sleeve. The hemline is straight and hits at the knee.,Bold jewelry
Apple-shaped,busted,t shirt,mid length,v shape,charms,jhumka,Haltered dresses which are known for their low cut necklines that reveal a bit of cleavage. These dresses make you look sexier.,A short necklace with a bib necklace that has a large pendant. A charms bracelet with jhumka earrings would look great with this necklace.
Apple-shaped,broad shoulders,party wear,puffy shoulder,rounded,stacks,drop earrings,A-line gown,"Necklace: 60s style, bracelet: 60s style, earrings: 60s style"
Rectangle,optional,party wear,puffy shoulder,rounded,stacks,studs,Long rectangle,exquisite
Rectangle,optional,party wear,puffy shoulder,v shape,stacks,drop earrings,lace,minimal
Apple-shaped,optional,t shirt,short length,rounded,stacks,studs,Casual.,Metal
Hourglass,optional,party wear,mid length,rounded,bangles,jhumka,Fitted,Gold set
Apple-shaped,broad shoulders,t shirt,short length,v shape,stacks,studs,Straight sleeve t-shirt,"Earrings: studs, bracelet: stacks, necklace: v shape"
Apple-shaped,busted,t shirt,short length,rounded,stacks,drop earrings,"This dress features a short sleeve, a square neckline, and a regular length.",This outfit would look great with a bold necklace and stacked bracelets.
Apple-shaped,optional,kurti,puffy shoulder,rounded,stacks,drop earrings,regular kurti with puffy shoulder,jewellery
Inverted triangle,broad shoulders,kurti,full length,choker,bangles,drop earrings,Wide neckline,Earrings: drop earrings
Pear-shaped,busted,party wear,mid length,v shape,charms,studs,Straight dress,Simple and subtle
Rectangle,optional,crop top,one shouldered,v shape,charms,studs,draped,minimal
Hourglass,optional,party wear,puffy shoulder,choker,charms,studs,A-line fit and flare party wear dress with puffy shoulder,"A silver choker necklace with a large silver pendant, silver stud earrings, and a silver bangle wristband with charms"
Hourglass,busted,party wear,full length,rounded,stacks,drop earrings,Sexy dress design,Necklace and earrings will go well with a choker necklace and drop earrings. Bracelet can be in a stacks style.
Hourglass,busted,party wear,one shouldered,choker,charms,studs,One-shouldered dresses are perfect for a party look.,"The necklace can be a choker necklace, the bracelet can be a charm bracelet, and the earrings can be stud earrings."
Apple-shaped,optional,kurti,mid length,choker,stacks,drop earrings,Straight kurti,"Bracelet: Silk, Earrings: Gold and pearl, Necklace: Gold"
Hourglass,busted,party wear,full length,choker,bangles,studs,Straight cut,Straight cuts
Inverted triangle,broad shoulders,t shirt,mid length,choker,charms,drop earrings,Single breasted,simple and small
Apple-shaped,optional,t shirt,mid length,v shape,stacks,drop earrings,"The dress design is a collarless t-shirt dress with mid-length sleeves. The dress is made from a stretchy, lightweight fabric that clings to the body, highlighting the curves and accentuating the apple-shaped body. The neckline is scooped, and the sleeves are","The accessory design is a layered necklace that features a V-shaped pendant in the center. The necklace is made from gold-tone metal and has a chain that can be adjusted to different lengths. The bracelet is a stack of multiple bangle bracelets in varying sizes and colors, and the"
Rectangle,optional,kurti,short length,v shape,stacks,drop earrings,straight skirt,Leather earrings and chunky bracelet
Rectangle,optional,t shirt,short length,v shape,bangles,jhumka,"Bell shaped, belted, straight",Choker
Pear-shaped,busted,party wear,short length,v shape,stacks,drop earrings,Elegant halter neck dress,Dainty
Inverted triangle,broad shoulders,kurti,sleeveless,choker,stacks,drop earrings,Wear a dress that showcases your waist and accentuates your hips. Opt for a dress with a belt or a waistband that will define your waistline and create an hourglass figure.,"Accessorize with dainty jewelry that complements your dress. Opt for a statement necklace that accentuates your neckline, and pair it with delicate bracelets and earrings."
Inverted triangle,optional,party wear,one shouldered,choker,stacks,drop earrings,It's a strapless short dress,"accessory design suitable for the given necklace, bracelet, and earrings: The accessory design suitable for the given necklace, bracelet, and earrings is a pair of stud earrings and a bracelet with small gemstones."
Hourglass,busted,party wear,puffy shoulder,choker,bangles,drop earrings,Sweetheart neckline,Standard
Hourglass,busted,party wear,short length,choker,bangles,studs,Straight cut,"Necklace: choker, bracelet: bangles, earrings: studs"
Apple-shaped,optional,party wear,short length,v shape,stacks,studs,Fitted,Bold
Rectangle,busted,party wear,puffy shoulder,rounded,stacks,drop earrings,One shoulder with ruffles,simple design
Pear-shaped,broad shoulders,party wear,mid length,v shape,bangles,drop earrings,Kaftan dress with kimono sleeves,Modern
Pear-shaped,broad shoulders,kurti,short length,rounded,stacks,drop earrings,"Suitable for Pear-shaped body type, dress type, and sleeve type","Necklace: collarbone length, bracelet: bangles, earrings: studs"
Apple-shaped,busted,party wear,sleeveless,rounded,stacks,drop earrings,"The dress design suitable for the given body type, dress type, and sleeve type (apple-shaped, party wear, sleeveless) is a fitted, strapless dress with a sweetheart neckline.","The accessory design suitable for the given necklace (rounded), bracelet (stacks), and earrings (drop earrings) is a statement necklace with a bold, geometric design, and chunky bracelets with metallic accents. The drop earrings should be long and dangling, with"
Pear-shaped,broad shoulders,party wear,puffy shoulder,rounded,stacks,drop earrings,Dresses with a puffy shoulder sleeve style,"Accessory designs that complement rounded necklaces, stacks of bracelets, and drop earrings include statement necklaces, chunky bracelets, and dangling earrings."
Hourglass,busted,party wear,puffy shoulder,choker,bangles,studs,Bodycon,Minimal
Hourglass,optional,party wear,mid length,v shape,stacks,drop earrings,"This dress design suits the hourglass body type, party wear dress type, and mid length sleeve type. The v shape necklace and stacks bracelet add to the overall style.","The accessory design suitable for the given necklace, bracelet, and earrings is a combination of a statement necklace, layered bracelets, and drop earrings. The necklace should be a bold, eye-catching piece that complements the v shape neckline of the dress. The bracelets"
Rectangle,optional,party wear,sleeveless,choker,stacks,jhumka,Sweetheart neckline with a round neckline.,"earrings: jhumka, necklace: choker, bracelet: stacks"
Pear-shaped,broad shoulders,party wear,full length,rounded,bangles,studs,Fitted,Rounded
Rectangle,optional,t shirt,short length,choker,stacks,drop earrings,This t shirt has a round neckline and is loose fitting. The sleeves are short length.,This necklace is paired with a choker necklace. The bracelets are stacks of rings and the earrings are drop earrings.
Apple-shaped,busted,t shirt,short length,v shape,stacks,studs,Stripe,Necklace and bracelet: Stacks
Apple-shaped,optional,party wear,puffy shoulder,rounded,bangles,studs,sexy,Simple
Apple-shaped,optional,party wear,puffy shoulder,choker,stacks,studs,"This dress is a great choice for your Apple-shaped body type. The dress features a puffy shoulder sleeve, which will accentuate your natural curves and create the illusion of a slimmer waist. The dress is also made with a slimming fabric, which will help to skim over any problem areas and give you","Accessory design: A simple necklace, bracelet, and earrings to complement the outfit."
Pear-shaped,busted,crop top,mid length,rounded,stacks,studs,[{,minimal
Hourglass,optional,t shirt,short length,choker,stacks,studs,Fitted,Gold jewelry
Pear-shaped,optional,t shirt,short length,rounded,charms,jhumka,Long sleeve T-shirt with round neck and short cuffs,Dangling earrings
Rectangle,optional,t shirt,short length,choker,stacks,drop earrings,"Empire waist, v neckline, sleeveless, Empire waist, v neckline, sleeveless",Pearls
Pear-shaped,optional,crop top,one shouldered,choker,stacks,studs,Elbow length sleeves,Jewels
Apple-shaped,optional,party wear,full length,choker,charms,jhumka,"The dress design suitable for the given body type, dress type, and sleeve type is 'Straight cut'","The accessory design suitable for the given necklace, bracelet, and earrings is 'Necklace, bracelets, and earrings'"
Apple-shaped,busted,t shirt,one shouldered,choker,stacks,studs,Tunic dress,This T-shirt dress looks best with a pair of silver hoops.
Rectangle,optional,party wear,mid length,rounded,charms,drop earrings,"Exquisite, sexy, halter neck, one shoulder dress",charming
Pear-shaped,optional,party wear,full length,v shape,bangles,jhumka,"curvy body, party wear, full length",party wear
Rectangle,busted,crop top,sleeveless,v shape,stacks,drop earrings,It is a midi dress with a deep neckline.,"The accessory design suitable for the given necklace, bracelet, and earrings is a stack of rings on the middle finger and a pair of hoop earrings"
Rectangle,optional,t shirt,short length,v shape,bangles,studs,A spaghetti strap dress with a v-neckline and a scoop hemline. It is a long dress with a lace trimming along the hemline.,"A long necklace with a pendant in the shape of a flower, a bracelet with a beaded design, and stud earrings"
Hourglass,optional,t shirt,short length,rounded,charms,drop earrings,Wear a dress that is fitted and skimmed at the waist.,Go for a simple necklace and bracelet design.
Apple-shaped,busted,kurti,short length,v shape,charms,jhumka,Long sleeves with deep v neckline,Golden necklaces with matching earrings
Apple-shaped,optional,t shirt,short length,rounded,charms,drop earrings,Below knee length,Minimal accessory design
Hourglass,optional,party wear,short length,v shape,stacks,studs,Nice ruffled bell sleeve party wear dress suitable for hourglass body type,"A nice accessory design with v shape necklace, stacks bracelet, and studs earrings"
Apple-shaped,optional,party wear,short length,choker,bangles,jhumka,Basic,Not suitable
Hourglass,busted,party wear,puffy shoulder,rounded,bangles,studs,deep plunging neckline,white
Inverted triangle,optional,party wear,mid length,rounded,bangles,drop earrings,Long and tapered,Long necklace and small earrings
Apple-shaped,busted,party wear,short length,v shape,stacks,studs,Notched sleeve,Not too much
Pear-shaped,busted,party wear,full length,rounded,bangles,studs,A-line kurti with a full sleeve,golden accessories
Hourglass,busted,party wear,puffy shoulder,v shape,stacks,drop earrings,V neckline with ruffles,Statement necklace with stacked bracelets and drop earrings
Hourglass,busted,party wear,short length,choker,stacks,drop earrings,Bodycon dress,"Plain rings, stackable bracelets, hoop earrings"
Pear-shaped,busted,t shirt,short length,rounded,charms,jhumka,waist detail,"A combination of necklace, bracelet, and earrings"
Rectangle,optional,t shirt,one shouldered,choker,stacks,studs,"Straight cut, slightly loose, and flattering fit",metallic
Hourglass,busted,t shirt,short length,rounded,bangles,studs,spaghetti straps,"Earrings: studs, bracelet: bangles, necklace: rounded"
Hourglass,optional,party wear,one shouldered,rounded,stacks,jhumka,One shouldered dress with a round neckline and a fitted body,A pair of silver earrings with a dangling tassel design and a pair of silver bangles with a cuff design
Pear-shaped,busted,crop top,puffy shoulder,v shape,stacks,jhumka,"Straight hemline, Fitted",Simplistic
Apple-shaped,broad shoulders,party wear,puffy shoulder,v shape,stacks,drop earrings,bohemian style,Simple
Hourglass,optional,party wear,mid length,v shape,bangles,drop earrings,"sweetheart neckline, side cutouts, ruffle detail","Gold, Black, Blue, Yellow, Red, White, Silver, Green, Orange, Brown, Pink, Purple, Black"
Rectangle,optional,party wear,puffy shoulder,rounded,stacks,drop earrings,Sweetheart neckline,dangling earrings
Apple-shaped,broad shoulders,crop top,mid length,choker,stacks,jhumka,simple,choker bracelet stacked earrings
Rectangle,optional,party wear,one shouldered,v shape,stacks,jhumka,Fitted party wear dress with one shouldered sleeve,"golden necklace with chain threaded with sapphires, gold bracelet with chain threaded with rubies, pearl earrings with v shape"
Hourglass,busted,kurti,short length,v shape,stacks,studs,below knee dress with tight fit,small hoop earrings and pearl necklace with silver bracelet
Rectangle,optional,party wear,puffy shoulder,v shape,bangles,studs,wide,minimal
Rectangle,busted,party wear,puffy shoulder,v shape,stacks,drop earrings,Design with pleated flare from the waistline with a keyhole neckline,Two layered necklace with pearl strands and chain
Hourglass,optional,t shirt,short length,rounded,bangles,studs,It is a casual and chic dress with a round neckline and short sleeves. It perfectly complements the hourglass body type and looks best with a pair of shorts or skinny jeans.,"A stylish and trendy accessory design that perfectly complements the round necklace, bangles, and studs. It includes a bracelet with a gold-plated chain and a small pendant, a pair of hoop earrings with a small gemstone, and a watch with a leather strap and"
Hourglass,busted,party wear,short length,choker,bangles,studs,Dress with ruffle detailing,Stud earrings
Rectangle,broad shoulders,t shirt,short length,v shape,bangles,drop earrings,Neat Shirt,Classic
Apple-shaped,optional,party wear,puffy shoulder,choker,stacks,drop earrings,This is a deep-V neck dress with puffy shoulder sleeves. The dress is suitable for a party wear dress.,"This dress goes well with a choker necklace, stack bracelet, and drop earrings."
Rectangle,busted,kurti,short length,v shape,charms,studs,Straight cut,Simple
Hourglass,optional,t shirt,short length,rounded,stacks,jhumka,Straight hemline,"Choose a layered necklace that accentuates your neck, opt for bangles, and wear a long drop earring"
Hourglass,busted,party wear,puffy shoulder,choker,stacks,studs,half sleeves with a round neckline and a princess hemline,"A gold choker necklace, wrist stack with gold cuffs and bangles, and stud earrings in gold"
Pear-shaped,busted,kurti,puffy shoulder,rounded,bangles,studs,Simple and Basic,basic
Pear-shaped,optional,kurti,sleeveless,v shape,charms,jhumka,flared,simple
Apple-shaped,busted,party wear,puffy shoulder,v shape,bangles,studs,Puffy shoulder dress with ruffle along the waist,V shaped necklace with bangles and studs
Apple-shaped,optional,kurti,puffy shoulder,rounded,stacks,drop earrings,boat neck,"rounded earrings, bracelet: stacks, necklace: rounded"
Hourglass,optional,kurti,puffy shoulder,v shape,bangles,drop earrings,Fitted,Printed
Rectangle,optional,crop top,short length,rounded,bangles,studs,Suitable design for Rectangle body type and crop top dress type with short length sleeves is A-line style with ruffle trim.,"Suitable accessory design for the given necklace, bracelet, and earrings is stacking rings, statement earrings, and layered necklace."
Pear-shaped,optional,party wear,puffy shoulder,v shape,bangles,jhumka,"bright, solid and glittering",v-shape with dangling earrings
Pear-shaped,optional,t shirt,full length,v shape,stacks,drop earrings,"Straight, Well-fitted, Slightly flared at the bottom",Minimalist
Hourglass,optional,t shirt,short length,choker,bangles,jhumka,backless with frill,Pretty
Pear-shaped,optional,party wear,mid length,v shape,bangles,jhumka,fitted dress with mid length sleeves,"Necklace goes well with a v-shape neckline, bracelets are best with bangles, and earrings with jhumka"
Pear-shaped,busted,t shirt,full length,v shape,bangles,studs,T-shirt with full length sleeves,casual
Rectangle,optional,t shirt,short length,v shape,bangles,studs,Half sleeve,wear a pearl necklace with golden bangles and studs earrings
Inverted triangle,broad shoulders,party wear,full length,rounded,stacks,jhumka,"A sleeveless dress that accentuates the shoulders and curves of a woman's body. The dress should feature a flattering neckline that draws attention to the bust and shoulders, and a fitted waist that highlights the hourglass figure. The dress should also have a length that is appropriate for the occasion, whether","An accessory design that complements the necklace, bracelet, and earrings should be bold and statement-making. A statement necklace, such as a chunky statement necklace, would look great with the stacks of bracelets and the jhumka earrings. The statement necklace should have a"
Rectangle,busted,crop top,puffy shoulder,v shape,bangles,studs,"fitted and mid waistline, scoop neckline, long sleeves, buttoned front, side slits, and long hem","bracelet: beads, necklace: v shape, earrings: studs"
Rectangle,optional,crop top,full length,rounded,charms,jhumka,"Rounded neckline, Long sleeves, Fitted length, No pockets, Fully lined, Very high neckline, Full sleeves, Elasticized waist, Zipper closure, Flared hem, Tiered hem, Straight hem, Elasticized cuffs, Button closure, Short sleeves,","Boho style necklace, bangle bracelet, and hoop earrings"
Hourglass,broad shoulders,t shirt,mid length,rounded,bangles,jhumka,Straight cut tops,funky
Pear-shaped,optional,kurti,full length,v shape,stacks,drop earrings,Fitted kurti with v-neckline,Modern and chic
Rectangle,optional,t shirt,mid length,choker,stacks,drop earrings,One shoulder,choker and drop earrings
Apple-shaped,broad shoulders,kurti,short length,v shape,stacks,jhumka,"Straight cut sleeves are considered most suitable for this body type, dress type and sleeve type.","The perfect accessory design for this necklace, bracelet, and earring combination would be a pair of hoop earrings with a simple pendant necklace. The hoop earrings would balance out the volume of the jhumka earrings, while the pendant necklace would complement the V-shape necklace"
Rectangle,optional,crop top,short length,v shape,stacks,jhumka,\n  \n  Body Type: Rectangle\n  Dress Type: Crop top\n  Sleeve Type: Short Length\n  Design: Embroidered Neckline Design With Short Sleeves,"Golden Bracelet, Jhumka Earring, V Shape Necklace"
Pear-shaped,busted,party wear,short length,choker,stacks,studs,"full-length, ball gown dress",Classic
Rectangle,busted,party wear,full length,rounded,bangles,studs,Ball gown,Pearls
Rectangle,busted,crop top,short length,choker,bangles,drop earrings,"The dress design suitable for the given body type, dress type, and sleeve type is a form-fitting crop top with short sleeve length.","The accessory design suitable for the given necklace, bracelet, and earrings is a choker necklace, bangles bracelet, and drop earrings."
Pear-shaped,optional,party wear,one shouldered,choker,stacks,jhumka,long flowing,one accessory
Rectangle,busted,kurti,puffy shoulder,v shape,bangles,drop earrings,Fitted at the waistline and flared at the bottom,Bold and elegant
Pear-shaped,busted,kurti,puffy shoulder,v shape,bangles,jhumka,Dress with puffy sleeves look good on pear-shaped body,Jhumka earrings and bangles go well with v-shaped necklace
Pear-shaped,broad shoulders,party wear,short length,rounded,bangles,studs,skater dress,dainty
Pear-shaped,busted,party wear,full length,rounded,stacks,jhumka,Straight & Fitted,Bold & Vibrant
Inverted triangle,busted,t shirt,short length,rounded,bangles,studs,Straight dress design,"Straight necklace, bracelet and earrings design"
Rectangle,optional,t shirt,short length,rounded,stacks,drop earrings,Straight,Thin Chain
Pear-shaped,optional,party wear,full length,choker,stacks,drop earrings,Body con dress,Long earrings
Apple-shaped,optional,t shirt,short length,choker,stacks,jhumka,t shirt with capped sleeves,"Necklace: choker, bracelet: stacks, earrings: jhumka"
Rectangle,busted,party wear,puffy shoulder,rounded,bangles,drop earrings,semi-fitted,cottage style
Hourglass,optional,party wear,puffy shoulder,v shape,bangles,studs,"The dress design suitable for the given body type, dress type, and sleeve type is a strapless, fitted bodycon dress with a puffy shoulder sleeve. The dress should be form-fitting and accentuate the hourglass figure. The v-neckline and puffy shoulder sleeve add a touch of","The accessory design suitable for the given necklace, bracelet, and earrings is a simple and elegant look. The v-neckline and puffy shoulder sleeve of the dress can be complemented by a v-neckline necklace. The bangles on the wrist can add a touch of eleg"
Hourglass,busted,kurti,full length,rounded,stacks,studs,drop shouldered with ruffles,Simple
Inverted triangle,broad shoulders,party wear,sleeveless,choker,stacks,drop earrings,It is a good idea to choose a halter neck dress with a deep neckline.,A bold choker with a statement necklace and stacked bracelets would be perfect for this outfit.
Hourglass,optional,party wear,one shouldered,v shape,bangles,studs,A-line dress design,"accessory_design (Describe the accessory design suitable for the given necklace, bracelet, and earrings): pearl necklace, bangle, stud earrings"
Apple-shaped,optional,party wear,puffy shoulder,choker,stacks,drop earrings,classic,Coastal
Apple-shaped,busted,kurti,mid length,v shape,bangles,jhumka,kurta style,winter fashion
Pear-shaped,busted,party wear,short length,rounded,bangles,studs,"Suitable for pear-shaped body type, party wear, and short sleeve length - A-line dress with ruffled bottom",Suitable for a casual look - White round neck long-sleeved top with collar neckline and ruffled sleeves
Hourglass,optional,crop top,short length,choker,stacks,drop earrings,ribbed,simple with texture
Apple-shaped,busted,t shirt,short length,rounded,bangles,jhumka,Half sleeves,Half sleeves
Inverted triangle,busted,t shirt,short length,rounded,bangles,drop earrings,Halter Neck Design,accessory design: Modern
Apple-shaped,busted,party wear,mid length,v shape,stacks,studs,flared dress,"gold cuff bracelet, small earrings"
Pear-shaped,broad shoulders,party wear,puffy shoulder,v shape,stacks,jhumka,"Dress design suitable for the given body type, dress type, and sleeve type:","Accessory design suitable for the given necklace, bracelet, and earrings: Accessory design suitable for the given necklace, bracelet, and earrings:"
Pear-shaped,broad shoulders,t shirt,short length,choker,bangles,studs,round neckline,"Hoop earrings, choker necklace, and bangles"
Pear-shaped,optional,kurti,short length,v shape,stacks,jhumka,Straight-cut and harem pants,"Necklace - V shape, Bracelet - Stacks, Earrings - Jhumka"
Pear-shaped,optional,t shirt,short length,v shape,bangles,drop earrings,Half sleeve t shirt with round neckline,Wear a casual earrings set with diamond studs and pearl studs
Pear-shaped,optional,party wear,puffy shoulder,rounded,stacks,studs,Baby doll dress,Floral
Pear-shaped,busted,t shirt,full length,rounded,stacks,studs,"striped, watercolor, floral, abstract, minimalist","Rounded necklace, stacks bracelet, and studs earrings"
Hourglass,busted,party wear,puffy shoulder,rounded,stacks,jhumka,"This dress design is suitable for hourglass body shape, party wear dress type, and puffy shoulder sleeve type","This accessory design is suitable for rounded necklace, stacks bracelet, and jhumka earrings"
Pear-shaped,optional,t shirt,short length,rounded,bangles,jhumka,casual,simple
Rectangle,busted,crop top,one shouldered,rounded,stacks,studs,three quarter sleeve dress,sleek and minimal
Hourglass,optional,party wear,mid length,rounded,stacks,studs,fitted,"gold studs and earrings, stacks of bracelets, and a golden necklace"
Apple-shaped,optional,party wear,short length,v shape,charms,jhumka,long sleeve,coral
Rectangle,busted,kurti,short length,rounded,stacks,studs,"Suitable for body type Rectangle, dress type kurti, and sleeve type short length is cory loop","Suitable for necklace rounded, bracelet stacks, and earrings studs is bangles, rings, and earrings"
Rectangle,optional,t shirt,mid length,v shape,bangles,drop earrings,Short dress with a v neckline,Simple design
Hourglass,optional,kurti,short length,rounded,stacks,drop earrings,Semi-formal,Simple
Apple-shaped,busted,kurti,puffy shoulder,rounded,bangles,studs,"Fitted, Pullover, Pencil",Simple
Apple-shaped,optional,party wear,full length,v shape,stacks,studs,Straight cuffed sleeve,Classic jewelry
Inverted triangle,busted,party wear,short length,choker,bangles,studs,Off-shoulder with back cut-outs,"Statement earrings, chunky necklace, thin bangles"
Rectangle,busted,t shirt,mid length,v shape,bangles,drop earrings,Straight lines and draping are used to create a comfortable fit for the body type. The neckline is V-shaped. The sleeves are mid-length.,Necklace is worn with a V-neck dress and drop earrings. Bracelet is worn with bangles.
Pear-shaped,optional,kurti,short length,choker,stacks,jhumka,Casual Kurti,Simple jewelry
Pear-shaped,broad shoulders,crop top,short length,rounded,stacks,studs,"The dress design that would suit the given body type, dress type, and sleeve type is a body-hugging crop top with a short sleeve. It would enhance the pear shape and accentuate the broad shoulders. The rounded necklace, stacks bracelet, and studs earrings would complement the outfit and","The accessory design that would suit the given necklace, bracelet, and earrings is a set of stacks bracelets and stud earrings in silver, with a dainty pendant necklace in gold. The stacks bracelets would add a touch of glamour to the outfit, while the stud"
